datetime,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,NVDA_sma8,NVDA_sma21,NVDA_sma50,NVDA_sma200,NVDA_sma300,NVDA_ema8,NVDA_ema20,NVDA_ema50,NVDA_ema200,NVDA_rsi,NVDA_macd,NVDA_stoch,NVDA_stochrsi,NVDA_vwap,NVDA_bb_hband,NVDA_bb_mavg,NVDA_bb_lband,NVDA_aroon_up,NVDA_aroon_down,NVDA_atr,NVDA_cmf,NVDA_roc,NVDA_uo,NVDA_tsi,NVDA_obv,NVDA_adi,NVDA_dcu,NVDA_dcm,NVDA_dcl,NVDA_kcu,NVDA_kcm,NVDA_kcl
2017-03-13 00:00:00,24.57,25.23,24.56,25.14,77413600,24.42875,25.59095238095238,26.248199999999997,19.971092609277733,17.525826717247025,24.71844220988064,25.349830839685144,25.410983398327698,19.971092609277733,46.440862065195596,0.6068405035439213,40.24390243902443,0.6089016540086304,24.85945343140649,27.68399023038278,25.4705,23.257009769617223,8.0,80.0,0.8670112569442036,0.02848880007522764,1.370967741935483,54.741779108017525,-17.27907076577095,2391072400,1693927850.008707,28.09,25.79,23.49,26.31116666666666,25.470666666666666,24.630166666666668
2017-03-14 00:00:00,25.26,25.36,24.79,25.12,52201600,24.515,25.45380952380952,26.201400000000003,20.02232551863815,17.57628634038824,24.807677274351608,25.32794218828656,25.399572284667787,20.02232551863815,46.283334699998946,0.5468166374323751,58.844765342960315,0.9840966573994967,24.767775623154943,27.533791637094005,25.391000000000002,23.248208362906,4.0,76.0,0.8457961671624747,0.11588127510097633,0.3194888178913812,52.75027790159181,-16.087443742471788,2338870800,1702170207.9034443,27.59,25.54,23.49,26.16533333333333,25.367333333333335,24.569333333333333
2017-03-15 00:00:00,25.23,25.42,24.76,25.31,61503600,24.642500000000002,25.387142857142855,26.1814,20.074939195069614,17.627673142113235,24.919304546717918,25.326233408449745,25.396059646053363,20.074939195069614,48.08493091677919,0.4784011681149778,73.68421052631572,1.0,24.717607096035124,27.35748377412117,25.316000000000003,23.274516225878834,4.0,72.0,0.8325250123651552,0.13018574945543387,-1.7850213426464916,56.324519375933356,-14.585313888588875,2400374400,1743172607.9034438,27.59,25.54,23.49,26.073,25.2895,24.505999999999997
2017-03-16 00:00:00,25.41,25.62,25.27,25.62,52310000,24.832500000000003,25.330476190476187,26.191,20.13011392944703,17.68077830395966,25.07501464744727,25.35421117907358,25.40484162071794,20.13011392944703,50.974061109697004,0.3946180947966198,86.2348178137652,1.0,24.775573963082557,27.173794508662674,25.253500000000003,23.33320549133733,4.0,68.0,0.7980589400533585,0.16014113024420917,2.3162939297124674,56.7352087720184,-12.491668170029591,2452684400,1795482607.9034438,27.59,25.54,23.49,25.999166666666667,25.223166666666668,24.447166666666668
2017-03-17 00:00:00,25.79,26.19,25.62,26.18,111968800,25.05875,25.297619047619047,26.2,20.19031180079582,17.73725153782039,25.32056694801454,25.432857733447523,25.435239988532924,20.19031180079582,55.76330909879345,0.27980664880876915,99.62962962962956,1.0,24.859490372974676,27.133552773372518,25.241,23.34844722662748,4.0,64.0,0.781769015763833,0.2377325703166072,3.192747339377212,65.8534629294756,-9.241388098700106,2564653200,1903522678.0788817,27.59,25.54,23.49,25.957,25.199,24.441
2017-03-20 00:00:00,26.35,27.05,26.19,27.01,74856800,25.395000000000003,25.3252380952381,26.2386,20.258169394817752,17.798864484412945,25.69599651512242,25.583061758833473,25.49699528310026,20.258169394817752,61.73048824335299,0.12045515524212291,98.87640449438206,1.0,24.97973898860129,27.25028280808576,25.270000000000003,23.289717191914246,24.0,60.0,0.7880712289235593,0.2475205652797971,10.560785918952115,72.111853728058,-4.406170239755145,2639510000,1971416054.823068,27.59,25.54,23.49,25.993333333333332,25.224333333333334,24.455333333333336
2017-03-21 00:00:00,26.84,27.14,26.06,26.14,91348400,25.6225,25.311428571428575,26.253200000000003,20.31669507248126,17.854287311759037,25.794663956206325,25.63610349608743,25.52221115435123,20.31669507248126,53.57297069383673,0.06363612005181807,72.60273972602742,0.6762237848114214,25.095254809596966,26.9876359178214,25.208000000000002,23.428364082178604,20.0,56.00000000000001,0.8089232840004481,0.15583213888610803,7.616303005352003,62.650552033341015,-2.5766366068507516,2548161600,1893600751.1193645,27.59,25.54,23.49,25.974333333333334,25.188833333333335,24.403333333333332
2017-03-22 00:00:00,26.03,26.72,25.99,26.67,61676400,25.898750000000003,25.277619047619048,26.257799999999996,20.379912036934183,17.912863475800506,25.989183077049365,25.734569829793386,25.567222481631575,20.379912036934183,57.2768974400225,-0.02388461828875421,87.12328767123292,0.8232346096041786,25.20873550533737,26.81501829258092,25.175000000000004,23.53498170741909,16.0,52.0,0.8032859065718447,0.1938545445240531,10.66390041493776,65.73119052718543,0.1588960244421362,2609838000,1946828329.2015567,27.14,25.314999999999998,23.49,25.943666666666665,25.144166666666667,24.344666666666665
2017-03-23 00:00:00,26.59,26.79,26.33,26.43,53394000,26.06,25.234761904761903,26.261599999999998,20.440111917163694,17.969455745064288,26.08714239326062,25.80080127457497,25.60105689411661,20.440111917163694,55.13195833045429,-0.07303750880300441,80.54794520547944,0.7381008342257684,25.38006047735081,26.97404796148463,25.2565,23.53895203851537,12.0,48.0,0.7787654846738559,0.27352320592687823,8.45301600328272,63.31219232896638,1.7368457164455287,2556444000,1916649111.8102527,27.14,25.314999999999998,23.49,25.948500000000003,25.209,24.4695
2017-03-24 00:00:00,26.89,26.97,26.26,26.52,43950000,26.235,25.31666666666667,26.273600000000002,20.500608315997887,18.02626999260539,26.183332972536036,25.869296391282116,25.637093878661055,20.500608315997887,55.80040948804251,-0.11789475910558878,80.379746835443,0.7438559883172707,25.58027002745211,27.129938523540055,25.3305,23.531061476459946,8.0,44.0,0.7738536643400088,0.21271483533090665,9.046052631578945,58.867563151691975,3.212654595257141,2600394000,1904887844.2046187,27.14,25.314999999999998,23.49,26.005166666666668,25.30766666666667,24.610166666666665
