datetime,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume,QQQ_sma8,QQQ_sma21,QQQ_sma50,QQQ_sma200,QQQ_sma300,QQQ_ema8,QQQ_ema20,QQQ_ema50,QQQ_ema200,QQQ_rsi,QQQ_macd,QQQ_stoch,QQQ_stochrsi,QQQ_vwap,QQQ_bb_hband,QQQ_bb_mavg,QQQ_bb_lband,QQQ_aroon_up,QQQ_aroon_down,QQQ_atr,QQQ_cmf,QQQ_roc,QQQ_uo,QQQ_tsi,QQQ_obv,QQQ_adi,QQQ_dcu,QQQ_dcm,QQQ_dcl,QQQ_kcu,QQQ_kcm,QQQ_kcl
2017-03-13 00:00:00,125.75,126.03,125.68,126.01,10731600,125.375,124.60333333333334,120.9266,113.91958398807465,111.44808327261399,125.40193788883789,124.3689572601365,121.46920539979438,113.91958398807465,73.41958662780887,-1.3609515675988177,97.2727272727278,0.31995609059500263,125.1124741770263,126.4611126448349,124.7355,123.0098873551651,100.0,4.0,0.7802593129033489,0.4189446739661268,1.2372459227123052,66.81129145908359,46.85671480035867,381290400,1012394167.4204905,126.07,124.175,122.28,125.36383333333333,124.63583333333334,123.90783333333334
2017-03-14 00:00:00,125.72,125.77,125.19,125.7,14019700,125.43625,124.78142857142856,121.14839999999998,114.03680205784505,111.54278039372619,125.46817391354058,124.4957232353616,121.63511891352795,114.03680205784505,69.16595078505767,-1.306948105846331,83.18181818181853,0.11776123827997634,125.15246669446324,126.36901713938548,124.8885,123.40798286061451,96.0,4.0,0.783097933410253,0.43533873467621104,0.7938417127736421,63.874467797614315,45.63860925171549,367270700,1023029801.9032495,126.07,124.185,122.3,125.51583333333333,124.78483333333334,124.05383333333334
2017-03-15 00:00:00,125.96,126.77,125.56,126.47,22709100,125.565,124.96380952380953,121.4092,114.16051547020481,111.64196457715659,125.69080193275379,124.68374959389858,121.8247220933896,114.16051547020481,73.30327928447534,-1.311168207255676,89.65517241379317,0.443733614536149,125.30333212908789,126.44001267192388,125.05900000000001,123.67798732807614,100.0,4.0,0.8135909381666631,0.41385895282388696,1.2813325858893203,66.50401419308993,45.77792402262021,389979800,1034478191.1594479,126.77,124.83500000000001,122.9,125.71066666666668,124.95766666666665,124.20466666666667
2017-03-16 00:00:00,126.71,126.71,126.1,126.39,18457300,125.71875,125.12238095238096,121.64800000000001,114.28220188343661,111.73995816800604,125.84617928103071,124.84624963257491,122.00375259953118,114.28220188343661,72.2190400956892,-1.2931507002999894,85.55133079847924,0.3583084362240014,125.4553847307241,126.55559626308485,125.1895,123.82340373691514,96.0,4.0,0.7990487282976156,0.36422541018270793,1.5343830334190205,67.27803140621776,45.57482742571752,371522500,1033570455.0938746,126.77,125.1,123.43,125.83883333333333,125.10233333333333,124.36583333333333
2017-03-17 00:00:00,126.55,126.68,126.28,126.34,21234500,125.8925,125.24428571428572,121.8734,114.4021799741487,111.8369684127369,125.95591721857944,124.98851157232967,122.17380151719662,114.4021799741487,71.50714526755624,-1.260309055815597,83.65019011406869,0.3112690496218495,125.57634456750377,126.6033037024063,125.319,124.03469629759371,92.0,4.0,0.7705452477049292,0.3170450880898635,0.39732994278448824,65.59893641168479,45.20973068341752,350288000,1018706305.0938747,126.77,125.155,123.54,125.95833333333334,125.23583333333333,124.51333333333335
2017-03-20 00:00:00,126.31,126.75,126.12,126.46,10105200,126.05375000000001,125.37333333333333,122.08820000000001,114.52215828286363,111.93413141331672,126.06793561445068,125.1286533273459,122.34188773220852,114.52215828286363,72.2150418222743,-1.2297885758826226,85.71428571428562,0.368712953004844,125.68577084936845,126.7111149597813,125.428,124.1448850402187,88.0,4.0,0.760506301440291,0.2797346044682209,0.9983228176663207,63.47375428158692,45.09368251505161,360393200,1019508305.0938745,126.77,125.32,123.87,126.07266666666666,125.35616666666667,124.63966666666667
2017-03-21 00:00:00,126.94,127.05,124.46,124.54,35841900,125.9625,125.38571428571429,122.2442,114.62183829994957,112.01789133748072,125.72839436679496,125.07259110569392,122.4280882132984,114.62183829994957,50.56745125497916,-1.0386994411672532,3.0888030888035676,0.0,125.64182744298695,126.73147653272666,125.4105,124.08952346727334,84.0,4.0,0.8911844227659848,0.1354922743709237,-0.7174744897959117,43.88793257039105,37.37353180773428,324551300,985880576.5224463,127.05,125.46000000000001,123.87,126.20516666666667,125.38516666666666,124.56516666666667
2017-03-22 00:00:00,124.58,125.51,124.42,125.38,29177900,125.91125,125.40904761904763,122.40939999999999,114.72888468502471,112.10667611264695,125.65097339639607,125.10186814324688,122.54384945983573,114.72888468502471,56.68506812251818,-0.9441572479723845,36.50190114068424,0.267704385946034,125.60282313336583,126.7359396802363,125.43249999999998,124.12906031976365,80.0,8.0,0.9053855354255574,0.169133843507506,0.1757750079897722,48.325950081221485,32.99384316096466,353729200,1008098610.4674,127.05,125.46000000000001,123.87,126.24949999999998,125.398,124.54650000000001
2017-03-23 00:00:00,125.22,125.57,124.86,125.07,20311700,125.79374999999999,125.41523809523808,122.5632,114.83178135482547,112.19281115508782,125.52186819719694,125.09883308198528,122.642914186901,114.83178135482547,54.0276934610977,-0.8345967576006785,24.714828897338123,0.15141876895375952,125.58855125564867,126.70199788221466,125.4625,124.22300211778536,76.0,4.0,0.8914294257523029,0.15264853908164996,0.09603841536613872,45.10676947571392,28.63299717070033,333417500,999802282.2983856,127.05,125.46000000000001,123.87,126.25949999999997,125.42999999999999,124.60049999999998
2017-03-24 00:00:00,125.47,125.96,124.85,125.33,22967600,125.7475,125.45619047619047,122.71600000000001,114.93624124184214,112.28010144641614,125.47923082004206,125.12084897893907,122.74829010114019,114.93624124184214,55.895217244835095,-0.7599884331487488,34.6007604562737,0.23314083795383247,125.59401045546683,126.6862996478934,125.4935,124.30070035210659,72.0,4.0,0.9070416096271384,0.09368285716957056,0.1278261564272562,41.35396311196298,25.77245346463698,356385100,996698552.5686561,127.05,125.595,124.14,126.3205,125.4775,124.6345
