datetime,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_sma8,SPY_sma21,SPY_sma50,SPY_sma200,SPY_sma300,SPY_ema8,SPY_ema20,SPY_ema50,SPY_ema200,SPY_rsi,SPY_macd,SPY_stoch,SPY_stochrsi,SPY_vwap,SPY_bb_hband,SPY_bb_mavg,SPY_bb_lband,SPY_aroon_up,SPY_aroon_down,SPY_atr,SPY_cmf,SPY_roc,SPY_uo,SPY_tsi,SPY_obv,SPY_adi,SPY_dcu,SPY_dcm,SPY_dcl,SPY_kcu,SPY_kcm,SPY_kcl
2017-03-13 00:00:00,214.01,214.22,213.66,214.18,57256800,213.935,212.8190476190476,208.1176,197.7352699709738,193.63335314782006,213.77391706681811,212.47304585281543,208.70735318571704,197.7352699709738,65.79805594689628,-1.7846864433800818,48.86877828054305,0.21299390760009612,213.81720547455603,215.95091838020412,213.035,210.11908161979588,68.0,4.0,1.2280850769507345,0.3677126696491146,0.5823236592467405,60.10553116029776,37.40075027297177,2429119900,4495990313.964419,216.44,212.715,208.99,213.99666666666667,212.89916666666667,211.80166666666665
2017-03-14 00:00:00,213.61,213.66,212.72,213.36,59880800,213.78125,213.05047619047622,208.3438,197.89073992151137,193.76442721328306,213.6819354964141,212.5575176763568,208.88980992353208,197.89073992151137,59.92305704926906,-1.6449091077795401,30.316742081448126,0.0,213.8469660903398,215.68678912318398,213.221,210.75521087681602,64.0,4.0,1.2446504285971112,0.36589155112823524,0.07035317292810171,57.08862872387648,34.79494970498998,2369239100,4517649326.730379,216.44,212.765,209.09,214.1843333333333,213.08583333333337,211.98733333333334
2017-03-15 00:00:00,213.95,215.65,213.71,215.2,96081800,213.84,213.3152380952381,208.6214,198.06297136507843,193.90685626834428,214.01928316387765,212.80918265956092,209.13726835790337,198.06297136507843,67.03564922982635,-1.6634321741007057,71.94570135746578,0.3181243300403213,214.0016913996158,215.7237165680809,213.45699999999997,211.19028343191903,60.0,4.0,1.3193182551258882,0.3478870270587945,0.7726527745258615,62.073985126520256,34.64869079431824,2465320900,4569157095.802543,216.44,213.32,210.2,214.4536666666667,213.32766666666666,212.20166666666668
2017-03-16 00:00:00,215.35,215.43,214.44,214.78,78344000,213.92625,213.52,208.85980000000004,198.22930995846073,194.04554825327222,214.1883313496826,212.99687954912653,209.3585519517111,198.22930995846073,64.23337759018793,-1.625483782482263,59.806295399515776,0.19278735509216444,214.14984247466148,215.77918337182226,213.6175,211.45581662817776,56.00000000000001,4.0,1.295795522616897,0.29355211563081357,0.8498849603230514,61.21136438440619,33.64247326321102,2386976900,4544625136.206583,216.44,213.525,210.61,214.60983333333334,213.5128333333333,212.41583333333332
2017-03-17 00:00:00,215.05,215.25,214.4,214.4,89002100,214.045,213.6547619047619,209.0666,198.39021234693377,194.18079377982855,214.23536882753092,213.13051006825737,209.55625579674202,198.39021234693377,61.71949068968392,-1.5469147146047533,50.60532687651346,0.08034894083778268,214.22894711983946,215.69475478460885,213.76800000000003,211.8412452153912,52.0,4.0,1.263952985287118,0.21972036780453982,-0.7177587404491702,60.11190270464476,32.04841945476969,2297974800,4455623036.206583,216.44,213.56,210.68,214.7643333333333,213.68383333333333,212.60333333333332
2017-03-20 00:00:00,214.4,214.7,213.76,214.17,52537000,214.185,213.7871428571429,209.27200000000002,198.5472251594021,194.31361242580977,214.22084242141295,213.2295091093757,209.73718694196785,198.5472251594021,60.184180094747624,-1.4493815165286037,45.03631961259049,0.011679229146306465,214.33755864408144,215.57952064207961,213.89000000000001,212.20047935792041,48.0,4.0,1.240813486338038,0.16964173109143,-0.19572207465399874,57.82886609038888,30.293235643375034,2245437800,4448916185.142753,216.44,214.23000000000002,212.02,214.90033333333332,213.8253333333333,212.75033333333332
2017-03-21 00:00:00,214.8,214.93,211.28,211.42,131809300,213.94750000000002,213.77238095238093,209.40780000000004,198.67531247124887,194.42727613062164,213.5984329944323,213.05717490848278,209.8031796109103,198.67531247124887,45.583549980174524,-1.1370762300982165,3.1249999999997025,0.0,213.93495442340546,215.78330399634774,213.81149999999997,211.8396960036522,44.0,4.0,1.412898237313893,0.05306928054725561,-1.5414706841149362,40.80852121551449,23.37472979931902,2113628500,4327218283.498916,216.44,213.86,211.28,215.01916666666665,213.81466666666665,212.61016666666666
2017-03-22 00:00:00,211.45,212.21,210.8,211.92,97569200,213.67874999999998,213.72142857142856,209.567,198.80710040685832,194.54350685400618,213.22544788455846,212.9488725362463,209.8861921751883,198.80710040685832,48.0512173546999,-0.9193205073382273,23.092783505154173,0.09127335394926385,213.66982402948787,215.86301783576587,213.76749999999998,211.6719821642341,40.0,8.0,1.4126912203629003,0.07621051982954677,-1.0135924144051642,43.86100193268734,18.716774005225435,2211197700,4384652635.271962,216.44,213.62,210.8,215.0028333333333,213.75983333333335,212.51683333333335
2017-03-23 00:00:00,211.92,212.87,211.3,211.69,100410300,213.3675,213.66857142857143,209.7216,198.9352884625115,194.65743704102275,212.88423724354547,212.82897991374668,209.95692973694565,198.9352884625115,46.9954820694764,-0.7198900065167493,18.350515463917265,0.06257970210490717,213.45208672061395,215.96372087695957,213.705,211.44627912304045,36.0,4.0,1.4239275617655498,0.031156022002950937,-0.8245490747247557,41.303501849412534,14.701491488490536,2110787400,4334127707.246483,216.44,213.62,210.8,214.97766666666666,213.71666666666664,212.45566666666667
2017-03-24 00:00:00,212.01,212.6,210.72,211.54,112504900,213.14,213.6019047619048,209.86180000000002,199.0607084778099,194.76961353908902,212.58551785609092,212.7062199219613,210.01901092373208,199.0607084778099,46.2813075215312,-0.5434713519527179,16.632860040567788,0.032526305851768675,213.25344296159108,216.0632966745847,213.62150000000003,211.17970332541535,32.0,88.0,1.4565041644965817,-0.022346106497109747,-0.7087538136587745,36.57387844781448,11.268700891056923,1998282500,4319765379.586907,216.44,213.57999999999998,210.72,214.94916666666668,213.6561666666667,212.36316666666667
