datetime,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_sma50,MSFT_sma200,MSFT_sma300,MSFT_ema8,MSFT_ema20,MSFT_ema50,MSFT_rsi,MSFT_macd,MSFT_stoch,MSFT_stochrsi,MSFT_vwap,MSFT_bb_hband,MSFT_bb_mavg,MSFT_bb_lband,MSFT_atr,MSFT_roc,MSFT_obv,MSFT_adi
2015-03-12 00:00:00,36.24,36.52,35.83,35.97,59992500,38.5048,38.8181,36.81796666666666,37.10197693440398,37.61195304885061,38.40166239709346,31.158930944401533,0.4370963468483353,4.651162790697685,0.0,37.700980756550315,39.33998436405679,37.901,36.46201563594322,0.653740229994396,-6.958096223486803,483032800,814591472.3742747
2015-03-13 00:00:00,35.69,36.36,35.61,36.28,58007700,38.4116,38.8275,36.833933333333334,36.919315393425315,37.4851003775315,38.31845995014862,35.269393104313025,0.4896130818156763,20.74303405572758,0.18416192987629834,37.450414454799095,39.43652817758483,37.8395,36.24247182241517,0.6606159278519391,-5.9372569354420515,541040500,860224196.374275
2015-03-16 00:00:00,36.36,36.51,36.19,36.44,35273500,38.3316,38.836299999999994,36.85113333333334,36.81280086155302,37.38556700824279,38.24479485406437,37.3486884790714,0.5124155028662614,26.182965299684476,0.2815927382984262,37.312747208259864,39.451124480431005,37.751999999999995,36.052875519568985,0.6362862187196577,-5.669169039606536,576314000,880065540.124275
2015-03-17 00:00:00,36.27,36.68,36.08,36.56,31673400,38.248599999999996,38.8431,36.87093333333333,36.756622892319015,37.30694157888634,38.178724467630474,38.93306564163964,0.5148685050812105,29.968454258675152,0.3536713457731334,37.18423255909756,39.430754950312405,37.6695,35.908245049687594,0.633694345953968,-4.915474642392719,607987400,899069580.1242753
2015-03-18 00:00:00,36.33,37.55,36.24,37.26,44194800,38.187,38.85405,36.8923,36.868484471803676,37.302470952325734,38.14269605713516,47.30455884573754,0.45508246972162425,52.54777070063689,0.7992863132840806,37.08861558653062,39.37818813130177,37.624,35.869811868698235,0.6820018926715414,-3.145308032232911,652182200,923697216.7654967
2015-03-19 00:00:00,37.05,37.34,37.02,37.08,33879100,38.1338,38.86625,36.914899999999996,36.91548792251397,37.28128324258043,38.10102170195339,45.57443476793195,0.41741440817526865,46.81528662420378,0.7136368418529434,37.000283378957725,39.32367680991106,37.571000000000005,35.81832319008895,0.6561446146235742,-2.2924901185770867,618303100,902522779.2654957
2015-03-20 00:00:00,37.32,37.68,37.26,37.6,71904500,38.080799999999996,38.8809,36.93986666666667,37.06760171751087,37.31163721947753,38.08137379207287,51.1346406432796,0.3416640533093158,70.56737588652489,1.0,36.982416711848536,39.232870669581715,37.528,35.82312933041828,0.6521342850076047,-0.423728813559313,690207600,947035088.7893059
2015-03-23 00:00:00,37.6,37.82,37.51,37.58,26246100,38.0038,38.89165,36.96333333333333,37.18146800250845,37.3371955795273,38.06171207473668,50.91917372148569,0.2800173188324635,85.65217391304354,0.9892135536087605,36.951810676791204,39.088574828200606,37.4715,35.85442517179939,0.627696121792776,-0.5820105820105791,663961500,932642066.2086607
2015-03-24 00:00:00,37.51,37.85,37.48,37.61,25513300,37.934400000000004,38.9014,36.9899,37.276697335284354,37.36317695290565,38.043997875727406,51.25099717422551,0.2261343522898258,86.95652173913054,1.0,36.94667200196309,38.943872453682616,37.419,35.89412754631738,0.6092892559504353,1.2654819601507776,689474800,925057031.0735257
2015-03-25 00:00:00,37.63,37.64,36.33,36.35,43469900,37.85,38.90575,37.01,37.07076459411005,37.26668390977178,37.97756658648319,39.24890979477727,0.281854143718931,33.03571428571435,0.40264544013732384,36.90075584511024,38.80451060804797,37.30800000000001,35.811489391952044,0.6593400233825472,-3.2472717593824827,646004900,882914456.2643656
