datetime,DIS_Open,DIS_High,DIS_Low,DIS_Close,DIS_Volume,DIS_sma8,DIS_sma21,DIS_sma50,DIS_sma200,DIS_sma300,DIS_ema8,DIS_ema20,DIS_ema50,DIS_ema200,DIS_rsi,DIS_macd,DIS_stoch,DIS_stochrsi,DIS_vwap,DIS_bb_hband,DIS_bb_mavg,DIS_bb_lband,DIS_aroon_up,DIS_aroon_down,DIS_atr,DIS_cmf,DIS_roc,DIS_uo,DIS_tsi,DIS_obv,DIS_adi,DIS_dcu,DIS_dcm,DIS_dcl,DIS_kcu,DIS_kcm,DIS_kcl
2011-03-11 00:00:00,37.36,37.97,37.21,37.8,6954800,38.04625,38.013333333333335,36.1892,32.75236733261385,31.70645350812317,37.88889597501391,37.646950615737346,36.33647024061807,32.75236733261385,54.4911307537128,-0.4772027888613479,48.54771784232349,0.2050688253386314,37.84174467186128,38.85626085509887,38.007,37.15773914490113,76.0,4.0,0.7348214446314884,0.09809783570651034,1.8867924528301772,53.91749916269375,18.600225357777582,212808200,421219903.48204744,39.04,37.835,36.63,38.652,37.9895,37.327
2011-03-14 00:00:00,37.55,37.58,36.61,37.19,11005600,37.93,37.96809523809524,36.272999999999996,32.79652288154307,31.74288903298614,37.73358575834415,37.60343150947664,36.369941995887956,32.79652288154307,48.537228478715505,-0.38723454381014477,23.86831275720158,0.0,37.80851351074384,38.86931562692002,37.9555,37.04168437307998,72.0,4.0,0.7673341985863819,0.06955086674647658,-0.4283801874163419,51.51229114907496,15.034829026993862,201802600,423375639.5645217,39.04,37.825,36.61,38.62783333333333,37.93933333333333,37.25083333333334
2011-03-15 00:00:00,36.22,36.86,35.78,36.65,14572000,37.66,37.89333333333333,36.3454,32.834865937448114,31.775494421471283,37.49278892315656,37.5126285085741,36.38092466271588,32.834865937448114,43.95828549875888,-0.2692567501796006,26.687116564417117,0.0,37.72316372703441,38.9574877735695,37.884,36.810512226430504,68.0,4.0,0.8132388986873543,0.09963400900191972,-3.093601269169756,55.61222646180558,10.499023622846355,187230600,432280750.6756328,39.04,37.41,35.78,38.58233333333333,37.858333333333334,37.13433333333334
2011-03-16 00:00:00,36.3,36.61,35.59,35.75,16754900,37.335,37.782380952380954,36.3944,32.86387224652824,31.80190309641167,37.105502495788436,37.344759126805144,36.35618251907996,32.86387224652824,37.59283966664068,-0.10196068109379297,4.637681159420197,0.0,37.58274966452469,39.19385865798718,37.7745,36.35514134201283,64.0,100.0,0.8308646916382572,0.08142265397713382,-7.191069574247153,50.24894138478449,4.261436602519081,170475700,420782289.891319,39.04,37.315,35.59,38.50383333333333,37.75483333333333,37.005833333333335
2011-03-17 00:00:00,36.27,36.28,35.64,35.89,9378400,37.08624999999999,37.684761904761906,36.4256,32.89398297044338,31.829066530987006,36.835390830057676,37.20621063853799,36.337900851665054,32.89398297044338,39.070869737156094,0.01910559162122638,8.695652173912972,0.047466556971978845,37.46848181274044,39.24444365327543,37.644999999999996,36.04555634672456,60.0,96.0,0.8172314993783817,0.03789353094723868,-5.203380876914947,48.59543150429209,-0.12127313111676585,179854100,418730764.891319,39.04,37.315,35.59,38.388999999999996,37.637,36.885000000000005
2011-03-18 00:00:00,36.32,36.69,36.25,36.31,13291500,36.87,37.58142857142857,36.448,32.92797318964295,31.85884017529938,36.71863731226708,37.120857244391516,36.33680670061936,32.92797318964295,43.40157967374168,0.08023608344500133,20.869565217391298,0.19794670528579913,37.29900765862169,39.18820548222225,37.536500000000004,35.884794517777756,56.00000000000001,92.0,0.8160006779942114,-0.006335164832179939,-4.748163693599148,48.047156235757896,-2.3598465884527324,193145600,409064219.43677366,39.04,37.315,35.59,38.28916666666667,37.534166666666664,36.77916666666667
2011-03-21 00:00:00,36.51,36.97,36.09,36.82,7130300,36.72624999999999,37.50238095238095,36.4862,32.966699824571876,31.891804692407028,36.7411623539855,37.09220417349709,36.355755457457825,32.966699824571876,48.2148973735847,0.08653221141582179,35.652173913043434,0.36197201525198847,37.19795868317194,39.093959849614855,37.459500000000006,35.825040150385156,52.0,88.0,0.8205720581374817,-0.02423779365212968,-5.1275444473074,53.28032078857042,-2.680537678191388,200275900,413763735.3458646,39.04,37.315,35.59,38.232166666666664,37.45066666666666,36.66916666666667
2011-03-22 00:00:00,36.85,36.94,36.44,36.49,6881000,36.6125,37.413333333333334,36.5212,33.00175753776022,31.92235748514851,36.68534849754428,37.0348513950688,36.36101994932223,33.00175753776022,45.517487478057205,0.11680373946798994,26.086956521739122,0.27005132316175035,37.11967501960306,39.0930020746884,37.406,35.7189979253116,48.0,84.0,0.7976740539848045,-0.028683898057884828,-4.850065189048238,48.80354962619282,-3.793305032645458,193394900,408258935.3458647,39.04,37.315,35.59,38.17366666666666,37.400166666666664,36.626666666666665
2011-03-23 00:00:00,36.46,37.29,35.99,37.19,11705500,36.536249999999995,37.395714285714284,36.5694,33.04343159211087,31.957358432091045,36.79749327586778,37.04962745268129,36.39352897091744,33.04343159211087,51.69138062854314,0.08334919603915125,46.37681159420279,0.5904449014779748,36.9873201918873,39.09469090366946,37.4105,35.72630909633054,44.0,80.0,0.8335544787001755,0.08616068952784825,-1.8215417106652712,54.63484968686761,-2.7283502489738822,205100400,418163589.1920185,39.04,37.315,35.59,38.152166666666666,37.37166666666667,36.591166666666666
2011-03-24 00:00:00,37.4,37.86,37.34,37.74,7011100,36.605,37.42619047619047,36.6304,33.090163616069965,31.9957812996519,37.00693921456383,37.11537721909259,36.446331756371656,33.090163616069965,55.91817287060587,0.012313879152856089,76.51245551601431,0.9122379142299265,36.90369572155377,39.119958579374945,37.43,35.740041420625055,40.0,76.0,0.8218720159358774,0.04544165928951702,-0.7886435331230209,56.451148167838994,-0.4288186622490184,212111500,421938796.8843262,39.04,37.315,35.59,38.16566666666667,37.397666666666666,36.629666666666665
2011-03-25 00:00:00,37.81,38.08,37.67,37.84,7935500,36.753750000000004,37.449523809523804,36.697399999999995,33.13742566964141,32.034613317594406,37.192063833549646,37.18438891251235,36.500985412984534,33.13742566964141,56.66066274518657,-0.051458108483444676,80.93525179856132,0.9491991747421107,36.87619953628235,39.12190390028616,37.431,35.74009609971383,36.0,72.0,0.7924525862261717,0.015349339272606528,-0.3423755596523451,60.573553990235595,1.6237861834248302,220047000,420583955.4209117,39.04,37.315,35.59,38.16166666666667,37.405166666666666,36.64866666666667
2011-03-28 00:00:00,38.03,38.13,37.44,37.44,6022900,36.965,37.431428571428576,36.7548,33.1802373545206,32.07052950817517,37.2471607594275,37.20873282560641,36.53780951443612,33.1802373545206,52.82767755314531,-0.068926667361076,70.88122605363965,0.7892985680959501,36.8536680353514,38.99264971451207,37.376999999999995,35.76135028548792,32.0,68.0,0.785134544352874,-0.06156391486865419,0.10695187165775173,56.44850530263572,2.1815687799840124,214024100,414561055.4209117,39.04,37.315,35.59,38.12433333333333,37.37183333333333,36.61933333333333
2011-03-29 00:00:00,37.49,37.89,37.3,37.81,5452700,37.205000000000005,37.397619047619045,36.819,33.22630464452537,32.108665524732146,37.37223614622139,37.265996366024844,36.587699337399414,33.22630464452537,55.80582977271816,-0.11134304064285772,87.40157480314959,0.9551688218971246,36.84243639934836,38.98730469989486,37.3745,35.76169530010514,28.000000000000004,64.0,0.7711963626133833,0.018700478177136527,0.02645502645503999,59.31108289404008,3.5665985653581505,219476800,418535057.115827,39.04,37.315,35.59,38.096833333333336,37.350833333333334,36.60483333333333
