datetime,SHOP_Open,SHOP_High,SHOP_Low,SHOP_Close,SHOP_Volume,SHOP_sma8,SHOP_sma21,SHOP_sma50,SHOP_sma200,SHOP_sma300,SHOP_ema8,SHOP_ema20,SHOP_ema50,SHOP_ema200,SHOP_rsi,SHOP_macd,SHOP_stoch,SHOP_stochrsi,SHOP_vwap,SHOP_bb_hband,SHOP_bb_mavg,SHOP_bb_lband,SHOP_aroon_up,SHOP_aroon_down,SHOP_atr,SHOP_cmf,SHOP_roc,SHOP_uo,SHOP_tsi,SHOP_obv,SHOP_adi,SHOP_dcu,SHOP_dcm,SHOP_dcl,SHOP_kcu,SHOP_kcm,SHOP_kcl
2017-03-13 00:00:00,6.44,6.52,6.4,6.49,10032000,6.14625,6.058095238095238,5.4074,4.395855058416015,4.01894772209731,6.221058039136479,6.005782688049851,5.514692906232081,4.395855058416015,75.44512908075224,-0.252394690381216,95.45454545454554,0.5038613259596264,6.137040552535586,6.535533017657855,6.085,5.634466982342145,100.0,4.0,0.17304455490737106,0.25636976247396204,3.5087719298245714,66.35548164878803,41.431545107422544,674391000,211364265.4564606,6.52,5.975,5.43,6.269,6.0685,5.868
2017-03-14 00:00:00,6.46,6.47,6.35,6.38,7018000,6.1975,6.099047619047618,5.4488,4.415597794153169,4.034635777099986,6.2563784748839275,6.0414224320451035,5.548626517752391,4.415597794153169,69.12297835683874,-0.25217387594817087,78.78787878787881,0.37479944865524806,6.135786343725384,6.534998481163528,6.1235,5.7120015188364714,96.0,4.0,0.17068422955684462,0.27427937872269303,3.23624595469256,59.667286785883526,40.89413444412187,667373000,207855265.45646062,6.52,5.975,5.43,6.3045,6.1075,5.910500000000001
2017-03-15 00:00:00,6.4,6.5,6.31,6.48,8823000,6.25375,6.14047619047619,5.4925999999999995,4.436139109634232,4.05088404436178,6.306072147131944,6.083191724231284,5.5851509680366105,4.436139109634232,71.46406628381924,-0.2571043048003645,93.93939393939407,0.6482550475193936,6.137398776796768,6.533666060605409,6.167,5.800333939394591,92.0,4.0,0.17206392744564147,0.26297317875839243,8.180300500834727,65.67383710240854,41.20629216615649,676196000,214820791.77225015,6.52,5.975,5.43,6.350333333333333,6.1498333333333335,5.949333333333334
2017-03-16 00:00:00,6.5,6.53,6.46,6.5,5410000,6.325,6.182857142857143,5.537000000000001,4.456675038891603,4.067157240080306,6.349167225547068,6.1228877504949715,5.6210274006626255,4.456675038891603,71.92258194127429,-0.25963265441618155,95.52238805970146,0.7648243082953228,6.149921736659162,6.579379302729907,6.189,5.798620697270093,100.0,4.0,0.16477364691380997,0.13893199923760852,9.797297297297298,66.05111947691701,41.59550105826285,681606000,215593648.91510728,6.53,6.195,5.86,6.348666666666667,6.180666666666667,6.012666666666666
2017-03-17 00:00:00,6.55,6.74,6.53,6.7,14946000,6.411250000000001,6.213333333333333,5.5828,4.478996680295667,4.084651211907015,6.427130064314386,6.177850821876403,5.663340051617032,4.478996680295667,76.06440054976134,-0.2746091943782476,95.45454545454545,1.0,6.216103372505457,6.665582579149576,6.218999999999999,5.772417420850423,100.0,4.0,0.17014695784853787,0.1883364765257373,12.227805695142386,70.78083238618858,43.31880008039711,696552000,224845934.62939298,6.74,6.300000000000001,5.86,6.372333333333334,6.208333333333334,6.044333333333333
2017-03-20 00:00:00,6.74,6.89,6.72,6.89,18059000,6.5112499999999995,6.2509523809523815,5.6251999999999995,4.502986763078796,4.103291403190025,6.5299900500223,6.245674553126269,5.711444363318326,4.502986763078796,79.20304390890558,-0.29837019640689455,100.0,1.0,6.313198164622069,6.788030074337801,6.255999999999999,5.723969925662198,100.0,4.0,0.171565032287928,0.22241703167196836,15.41038525963149,73.86355477914525,45.91386957821092,714611000,242904934.62939298,6.89,6.375,5.86,6.408666666666667,6.244666666666666,6.080666666666667
2017-03-21 00:00:00,6.99,7.16,6.68,6.72,36304000,6.571250000000001,6.278095238095238,5.665800000000001,4.5250465962819915,4.120678171275141,6.5722144833506775,6.2908484052094815,5.750995564756823,4.5250465962819915,70.31827977120666,-0.3000248823677225,66.15384615384612,0.5257988969725691,6.452173364527497,6.845579080620511,6.2765,5.70742091937949,96.0,4.0,0.1935961014102189,0.06770070366425122,11.442786069651731,55.703337849318395,44.99862191689807,678307000,212651601.29605964,7.16,6.51,5.86,6.4505,6.2725,6.0945
2017-03-22 00:00:00,6.7,6.75,6.47,6.67,14458000,6.60375,6.295238095238095,5.7048000000000005,4.546389416219484,4.137617186748395,6.593944598161638,6.326958080903816,5.787034954374203,4.546389416219484,67.9055157453407,-0.2939135977801337,62.307692307692285,0.3970239126647845,6.4922682529810585,6.885686786108538,6.292,5.698313213891462,92.0,36.0,0.19976780845234615,0.05331615770169328,12.478920741989887,57.53840111569506,43.47778402397299,663849000,218847887.01034534,7.16,6.51,5.86,6.470666666666666,6.288666666666666,6.1066666666666665
2017-03-23 00:00:00,6.68,6.83,6.67,6.76,13076000,6.637500000000001,6.314285714285714,5.744199999999999,4.5684153921775,4.155041657268339,6.630845798570164,6.368200168436786,5.825190446359528,4.5684153921775,69.90707392278476,-0.2929555987695709,69.2307692307692,0.5038518577635466,6.53948543369054,6.944011752877891,6.3165,5.688988247122108,88.0,32.0,0.19692725070575,0.07871972602876687,12.479201331114808,58.83784296393203,42.879266082403,676925000,220482387.0103453,7.16,6.51,5.86,6.4885,6.3115,6.1345
2017-03-24 00:00:00,6.8,7.01,6.77,6.9,14625000,6.702500000000001,6.344285714285713,5.7856,4.591615239021506,4.173280583133665,6.69065784333235,6.418847771442807,5.867339840619938,4.591615239021506,72.75361179581606,-0.30003459557018886,79.03225806451616,0.5972796979402059,6.5902371956453,7.025519316216024,6.352500000000001,5.679480683783978,100.0,28.000000000000004,0.200718161369625,0.06334429513181246,13.300492610837447,56.89673027419839,43.30641201159355,691550000,221701137.0103454,7.16,6.51,5.86,6.528833333333333,6.348333333333333,6.167833333333333
