datetime,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_sma8,MSFT_sma21,MSFT_sma50,MSFT_sma200,MSFT_sma300,MSFT_ema8,MSFT_ema20,MSFT_ema50,MSFT_ema200,MSFT_rsi,MSFT_macd,MSFT_stoch,MSFT_stochrsi,MSFT_vwap,MSFT_bb_hband,MSFT_bb_mavg,MSFT_bb_lband,MSFT_aroon_up,MSFT_aroon_down,MSFT_atr,MSFT_cmf,MSFT_roc,MSFT_uo,MSFT_tsi,MSFT_obv,MSFT_adi,MSFT_dcu,MSFT_dcm,MSFT_dcl,MSFT_kcu,MSFT_kcm,MSFT_kcl
2011-03-11 00:00:00,19.92,20.26,19.88,20.13,49905800,20.26625,20.745714285714286,21.459,20.935666866199643,21.16642161245607,20.282835709600775,20.672650343128073,21.05302614967924,20.935666866199643,34.14940880383111,0.3900047652894294,18.978102189780913,0.5630949103839917,20.54623403608502,21.55713053398024,20.711499999999997,19.865869466019756,12.0,96.0,0.3628020967678397,-0.2714480898696177,-3.4069097888675666,38.13305451895264,-33.50812136476694,-960139100,-66342442.59417264,21.67,20.770000000000003,19.87,21.09016666666667,20.744666666666667,20.399166666666666
2011-03-14 00:00:00,19.98,20.19,19.87,20.14,54473400,20.228749999999998,20.68428571428571,21.427799999999998,20.927749782953875,21.15960153529689,20.251094440800603,20.621921739020635,21.017221202632996,20.927749782953875,34.444712136452566,0.38377488324599085,20.149253731343254,0.5893169086928423,20.48256252280604,21.50243716502157,20.657,19.81156283497843,8.0,92.0,0.35974480414156546,-0.20869757591324853,-4.003813155386081,42.7327816436371,-33.26902889400593,-905665700,-28891980.094172865,21.45,20.66,19.87,21.014,20.6815,20.349
2011-03-15 00:00:00,19.66,19.96,19.59,19.9,76067300,20.14875,20.62095238095238,21.3908,20.917523416954335,21.151232089879635,20.173073453956025,20.553167287685337,20.97340860645131,20.917523416954335,30.867047079242155,0.39366571773337355,19.13580246913571,0.27163161118195256,20.39217862731838,21.456191308324183,20.591,19.72580869167582,4.0,100.0,0.3733344609885965,-0.19829343968356244,-4.372897645362808,45.48713066077147,-34.14296565804094,-981733000,22504844.230150588,21.45,20.52,19.59,20.953,20.6145,20.276
2011-03-16 00:00:00,19.77,19.81,19.34,19.43,100725400,20.035,20.535714285714285,21.343400000000003,20.902722188924937,21.139795331807342,20.007946019743578,20.446198974572447,20.91288277874734,20.902722188924937,25.320521026211424,0.43442160551997233,5.056179775280888,0.0,20.24534556286445,21.470953884908347,20.506,19.541046115091653,4.0,100.0,0.38666771377512527,-0.20617370455484177,-6.7210753720595235,43.654649984586214,-36.83964888139897,-1082458400,-39644870.6634664,21.45,20.395,19.34,20.876666666666665,20.529666666666664,20.182666666666666
2011-03-17 00:00:00,19.64,19.77,19.4,19.42,62497000,19.9425,20.454285714285714,21.293999999999997,20.887968734308767,21.128368120300316,19.87729134868945,20.34846573889888,20.854338356051365,20.887968734308767,25.216696254324077,0.46219990386536836,4.678362573099521,0.0,20.153474531708895,21.440342408393445,20.418,19.395657591606554,4.0,100.0,0.3854771627911878,-0.29809959029587646,-5.268292682926821,38.59998906281759,-38.96300072111354,-1144955400,-95385438.23103294,21.45,20.395,19.34,20.799,20.452,20.105
2011-03-18 00:00:00,19.64,19.74,19.44,19.44,85486700,19.83375,20.37142857142857,21.246399999999998,20.87356108521117,21.1171497274744,19.78011549342513,20.26194519233708,20.798874106794447,20.87356108521117,25.871376090051626,0.4771008509580277,6.060606060606152,0.07094481024847824,20.053173320802074,21.340559978565526,20.3235,19.306440021434472,20.0,96.0,0.38080022259181706,-0.3745647694057596,-4.892367906066536,34.289220175929664,-40.463278494363294,-1059468700,-180872138.23103294,21.33,20.335,19.34,20.7085,20.3645,20.020500000000002
2011-03-21 00:00:00,19.74,20.05,19.71,19.85,46878100,19.778750000000002,20.30095238095238,21.194200000000002,20.863376397796134,21.108730127956296,19.795645383775103,20.222712316876404,20.76166335750839,20.863376397796134,37.87770770888425,0.4506317827148614,37.77777777777786,1.0,20.002081555061093,21.206067725098908,20.2555,19.304932274901095,16.0,92.0,0.3971716352638301,-0.36933943058811336,-3.359298928919171,41.74616622893681,-37.9272115536827,-1012590600,-189144744.1133857,21.24,20.29,19.34,20.6485,20.296499999999998,19.944499999999998
2011-03-22 00:00:00,19.83,19.96,19.78,19.83,30895600,19.7675,20.235238095238095,21.1452,20.853094045579258,21.100233582255587,19.80327974293619,20.185311143840554,20.725127539566884,20.853094045579258,37.558142622156275,0.4263539453993914,36.29629629629614,0.9747599085685309,19.968600683783308,21.13304094737232,20.205,19.276959052627678,12.0,88.0,0.3816593756021279,-0.35063177055189054,-2.507374631268444,39.89042285634584,-36.02094952448978,-1043486200,-202876121.89116442,21.21,20.275,19.34,20.580000000000002,20.2415,19.903
2011-03-23 00:00:00,19.78,20.07,19.74,20.02,43969000,19.75375,20.196190476190477,21.1058,20.844804552588418,21.0930559504798,19.85143980006148,20.16956722537955,20.697475479191713,20.844804552588418,42.51954155621837,0.38731741821035115,54.39999999999998,1.0,19.91751021826304,21.047592666334275,20.164,19.28040733366573,8.0,84.0,0.37796942020197605,-0.31584029276847553,-0.6944444444444473,41.026800719539246,-32.843104497341834,-999517200,-172231061.28510392,21.21,20.275,19.34,20.533666666666665,20.195166666666665,19.85666666666667
2011-03-24 00:00:00,20.07,20.28,19.99,20.23,38696700,19.765,20.167142857142856,21.072400000000002,20.83868709435371,21.08732135944671,19.935564288936707,20.175322727724353,20.679143107458703,20.83868709435371,47.486073207865715,0.33556723402281463,71.20000000000005,1.0,19.889535880713346,20.928254950093674,20.1265,19.324745049906326,4.0,80.0,0.3716858901875494,-0.29852991594463296,-0.39389463318561446,42.848863641608666,-28.54135404254673,-960820500,-146878050.94027638,21.12,20.23,19.34,20.485166666666668,20.154166666666665,19.82316666666667
