datetime,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_sma50,SPY_sma200,SPY_sma300,SPY_ema8,SPY_ema20,SPY_ema50,SPY_rsi,SPY_macd,SPY_stoch,SPY_stochrsi,SPY_vwap,SPY_bb_hband,SPY_bb_mavg,SPY_bb_lband,SPY_atr,SPY_roc,SPY_obv,SPY_adi
2015-03-12 00:00:00,177.32,178.98,177.26,178.91,93993500,177.93400000000003,172.02695,167.0546,179.3082639409306,179.85745278574504,178.51874398179456,47.58276071772279,-0.11741601800042645,34.51327433628323,0.32069530585540523,180.61345796464914,184.746345758968,181.1125,177.47865424103202,1.7054934544707117,-2.2242868073013407,1222992700,2739404973.504106
2015-03-13 00:00:00,178.62,179.62,176.73,177.81,162410900,177.9034,172.10165,167.13066666666668,178.97531639850158,179.66245728234077,178.49095010015554,44.216865733647595,0.047497466778793296,18.289085545722845,0.1988583462730909,180.25912125675143,184.88218280381147,180.97899999999998,177.0758171961885,1.790101064865662,-2.740400393829992,1060581800,2698380766.9297123
2015-03-16 00:00:00,178.57,180.28,177.84,180.18,136099200,177.95579999999998,172.18395,167.21473333333336,179.24302386550121,179.711747064975,178.55718735112984,52.081748179057314,-0.012897922260634687,53.24483775811229,0.498203370713509,180.07412843938224,184.84364192899602,180.927,177.01035807100396,1.8386652745181145,-1.3253012048192703,1196681000,2823324294.7985654
2015-03-17 00:00:00,179.42,180.05,178.8,179.65,94510400,177.9996,172.26229999999998,167.29853333333332,179.33346300650095,179.7058663921202,178.60004274912475,50.37139610533354,-0.017790059858327822,46.525679758308314,0.44865469430157334,179.91231056253113,184.779079973837,180.834,176.888920026163,1.8059034691953915,-1.2803604791735268,1102170600,2857348038.7985644
2015-03-18 00:00:00,179.16,182.51,178.49,181.81,228808500,178.15060000000003,172.35049999999998,167.38636666666667,179.88380456061185,179.90626006906115,178.72592342562967,56.62338487367221,-0.1937278877784081,79.15407854984903,0.6894623383439761,179.93917236450045,184.80567209632963,180.8485,176.89132790367037,1.9640532213957194,-0.7207994320974134,1330979100,3006471986.559759
2015-03-19 00:00:00,181.38,181.82,180.57,180.98,117917300,178.31779999999998,172.435,167.47129999999999,180.12740354714253,180.00852101486484,178.8143185854089,53.81781421676564,-0.26315236392343877,66.61631419939567,0.5814002663988767,179.87811930525982,184.7779802531114,180.828,176.8780197468886,1.9130494198674537,-0.7676280293891905,1213061800,2965908435.3597584
2015-03-20 00:00:00,181.97,183.11,181.78,182.58,177715100,178.47400000000002,172.52585000000002,167.56123333333335,180.67242498111085,180.2534237753539,178.96199236637327,58.12511845550613,-0.44218120006070194,90.92284417549179,0.8819457092607912,179.9911161701585,184.79157600659252,180.833,176.87442399340748,1.9285458898769232,0.5341115577336043,1390776900,3001985936.8635187
2015-03-23 00:00:00,182.59,183.18,182.22,182.22,71784500,178.56099999999998,172.60949999999997,167.64856666666665,181.016330540864,180.4407167491297,179.08975737161356,56.8405520697435,-0.5486889070051575,85.4765506807866,0.9337919190304405,179.94885512578554,184.76118730518866,180.821,176.88081269481134,1.8593640406000007,0.22551014795665617,1318992400,2930201436.8635187
2015-03-24 00:00:00,182.09,182.57,181.13,181.2,77805300,178.65619999999998,172.6841,167.7394,181.05714597622756,180.51302943968878,179.17251198449145,53.249740991348936,-0.5445147297450603,70.04538577912233,0.7487172407111918,179.9326004784691,184.55166804840027,180.732,176.91233195159973,1.829409466271429,1.0878661087866046,1241187100,2859960541.0301847
2015-03-25 00:00:00,181.41,181.66,178.5,178.54,159521700,178.7258,172.74455,167.8158,180.49778020373253,180.32512187400414,179.14770759294277,45.225816493795506,-0.3228453346866331,29.803328290468908,0.3351546185565929,179.82725802353755,184.3253224187045,180.51799999999997,176.71067758129544,1.9244516472520412,-0.8056003111284054,1081665400,2704477365.0808167
2015-03-26 00:00:00,177.85,179.07,177.12,178.12,153067200,178.7968,172.80285,167.888,179.96938460290306,180.11511026695612,179.10740533439602,44.09596713590748,-0.11198930910310878,23.449319213313284,0.2769208374149165,179.68181059268412,184.1121325278165,180.294,176.47586747218352,1.9262765295911801,0.5929858248150514,928598200,2708402165.0808177
2015-03-27 00:00:00,178.0,178.71,177.8,178.52,118939000,178.8968,172.866,167.9622,179.64729913559128,179.9631950034365,179.08436983108638,45.49260853089748,0.022578680275444185,29.500756429652238,0.34890539780027857,179.5864810289733,183.931422023867,180.121,176.31057797613303,1.8536853489060956,1.052869919619616,1047537200,2777674329.9159827
2015-03-30 00:00:00,179.6,181.02,179.58,180.7,96180400,179.07219999999998,172.94594999999998,168.04586666666668,179.88123266101542,180.0333669078711,179.14772787692613,52.462965817510245,-0.046150999616287436,62.481089258698745,0.708165911490923,179.80642894807434,183.5655200504162,179.99949999999998,176.43347994958376,1.899850681127089,1.0005030462243543,1143717600,2831107885.471535
2015-03-31 00:00:00,179.84,180.57,179.06,179.12,126768700,179.17100000000002,173.0155,168.12273333333334,179.71206984745643,179.94637958331197,179.14664050920354,47.701736423432436,0.026566783939955485,37.0542635658916,0.2570197729985074,179.96617000116274,183.2470089063028,179.8365,176.4259910936972,1.8812899181894387,0.7367414656093595,1016948900,2714413519.2463703
2015-04-01 00:00:00,179.09,179.11,177.46,178.49,137303600,179.2498,173.0812,168.19716666666667,179.4404987702439,179.80767676585367,179.1208899009995,45.912509419658655,0.13349306126818306,27.286821705426583,0.12948340511613665,179.92707452067475,183.03725125679142,179.6805,176.32374874320857,1.8654834954616213,-0.9379509379509366,879645300,2748531383.4887943
2015-04-02 00:00:00,178.42,179.6,178.23,179.13,86900900,179.32379999999998,173.1478,168.278,179.37149904352304,179.74313612148666,179.12124715978382,48.04450759566972,0.16469179067044593,33.16831683168301,0.2814525533163329,180.0518942272038,182.7635811304614,179.5465,176.3294188695386,1.830091817214363,-0.28945171166156985,966546200,2775806848.452298
2015-04-06 00:00:00,178.2,180.88,178.06,180.34,114368200,179.3698,173.21435000000002,168.3739,179.58672147829571,179.7999803003927,179.1690413888119,51.90448411967457,0.09073419358475121,53.1353135313531,0.5565922560731548,180.08073306165466,182.83303898490888,179.601,176.36896101509112,1.9007995445561936,-0.8085363841372855,1080914400,2846374461.218256
2015-04-07 00:00:00,180.36,181.15,179.83,179.86,81236300,179.4256,173.2776,168.47066666666666,179.64745003867446,179.80569646226007,179.19613780493694,50.30776412181959,0.07004679765060473,45.21452145214535,0.4427778163055565,180.12138532032938,182.82390536321637,179.59449999999998,176.3650946367836,1.8593138628021795,-0.6188529119239563,999678100,2768830720.309165
2015-04-08 00:00:00,180.1,180.93,179.69,180.47,89351900,179.48539999999997,173.34220000000002,168.56646666666666,179.83023891896903,179.86896346585436,179.2460931851355,52.31535724763374,0.004379501147781184,55.28052805280517,0.5858793539594812,180.0188749856705,182.79635405321076,179.7645,176.73264594678923,1.8150771583163101,-1.1556577938438017,1089030000,2791889275.147874
2015-04-09 00:00:00,180.29,181.51,179.78,181.27,85548900,179.608,173.41105,168.6698,180.1501858258648,180.0023955167254,179.3254620798361,54.88937109564609,-0.1109368080911679,68.48184818481855,0.769355445233546,179.9815466872846,182.7345875601941,179.99499999999998,177.25541243980587,1.809000218436573,-0.5213478213148879,1174578900,2853702064.1652164
2015-04-10 00:00:00,181.53,182.3,181.32,182.26,72722900,179.7954,173.4899,168.77113333333332,180.6190334201171,180.21740546751346,179.4405419982739,57.916780749471485,-0.2789944656648231,84.81848184818456,1.0,179.77637422959825,183.02321931513214,180.1625,177.30178068486785,1.7533573456911036,0.5849889624724075,1247301800,2920488400.8999076
2015-04-13 00:00:00,182.11,182.77,181.38,181.43,74436600,179.93420000000003,173.56080000000003,168.87266666666665,180.79924821564663,180.3328906610836,179.5185599591259,54.60794130032651,-0.34127332028046453,76.28318584070793,0.7605901112871084,179.7470098982131,183.03926167343664,180.3435,177.64773832656337,1.7274032495703115,1.6186848885403913,1172865200,2851406951.9790454
2015-04-14 00:00:00,181.22,181.97,180.57,181.78,75099900,180.12379999999996,173.63405,168.98666666666668,181.01719305661405,180.47071059812328,179.60724388229744,55.75583563714466,-0.4140983679675685,82.47787610619454,0.843645593324113,179.73367432847132,183.18916285001805,180.42350000000002,177.657837149982,1.7040173031724326,2.054794520547943,1247965100,2906122593.407617
2015-04-15 00:00:00,182.26,183.12,182.18,182.59,99529300,180.28699999999998,173.70974999999999,169.09993333333335,181.36670571069982,180.6725476840163,179.72421471044265,58.37906078646795,-0.5310513441558555,91.16666666666664,1.0,179.95678514710625,183.46558877238155,180.5705,177.67541122761847,1.6780160672315447,2.279856598700422,1347494400,2893416725.3225102
2015-04-16 00:00:00,182.25,183.07,182.04,182.54,68934900,180.39880000000002,173.7856,169.21366666666665,181.62743777498875,180.85040028553857,179.8346376629743,58.14986956243295,-0.6126406976463272,89.75265017667822,0.9822145599510577,180.30520539497527,183.58100806992346,180.60700000000003,177.6329919300766,1.6317292052864345,1.018262313226344,1278559500,2891408912.701151
2015-04-17 00:00:00,181.3,181.55,179.63,180.44,191113200,180.482,173.84535,169.31386666666668,181.36356271388013,180.8113145440587,179.8583773624655,49.38115217917617,-0.5020609524021324,52.65017667844508,0.2782359497392648,180.50400232550433,183.54977440220122,180.58,177.6102255977988,1.723034262051689,0.736936132201872,1087446300,2861547475.20115
2015-04-20 00:00:00,181.41,182.44,181.32,182.09,92189500,180.56260000000003,173.9125,169.41336666666666,181.52499322190675,180.9330941112912,179.94589197570212,55.1090522816089,-0.5413268391492636,81.80212014134273,0.7376974266062821,180.60439809236058,183.46637254959225,180.5555,177.64462745040774,1.742817529047997,2.0169197153902148,1179635800,2896118537.701151
2015-04-21 00:00:00,182.8,182.97,181.56,181.87,72559800,180.64860000000002,173.97439999999997,169.5112,181.60166139481638,181.02232324354918,180.02134719234127,54.22794309144155,-0.5483718861545697,77.91519434628974,0.667019565163927,180.78361155854327,183.41261719190047,180.538,177.66338280809956,1.7190448484017113,1.5296153631440905,1107076000,2855464465.360726
