datetime,META_Open,META_High,META_Low,META_Close,META_Volume,META_sma8,META_sma21,META_sma50,META_sma200,META_sma300,META_ema8,META_ema20,META_ema50,META_ema200,META_rsi,META_macd,META_stoch,META_stochrsi,META_vwap,META_bb_hband,META_bb_mavg,META_bb_lband,META_aroon_up,META_aroon_down,META_atr,META_cmf,META_roc,META_uo,META_tsi,META_obv,META_adi,META_dcu,META_dcm,META_dcl,META_kcu,META_kcm,META_kcl
2013-07-30 00:00:00,35.65,37.96,35.32,37.63,173582800,30.75,27.488095238095237,25.567999999999998,26.775856047392423,27.701976281314398,32.209541165262316,28.883100116522016,26.870645618441483,26.775856047392423,89.38953211133699,-2.5227432909646055,97.36211031175061,1.0,32.29151564909595,35.57105679939448,27.622000000000003,19.672943200605527,100.0,8.0,1.2870935197885751,0.4248957471928266,45.233500578927064,82.5249055247832,61.217406961962084,1091757000,-839192303.1325837,37.96,31.055,24.15,28.314999999999998,27.525,26.735000000000003
2013-07-31 00:00:00,37.96,38.31,36.33,36.8,154828700,32.115,28.059047619047618,25.788800000000002,26.875598773289017,27.76242826615616,33.22964312853736,29.637090581615155,27.26003206477711,26.875598773289017,83.6911388513706,-2.8266450966185452,88.16614420062692,0.8205521425739738,33.028553631440175,36.984275932162475,28.241499999999995,19.498724067837514,96.0,4.0,1.3365868398036773,0.3323247862731453,40.0304414003044,76.69945649900566,62.765150341601974,936928300,-920516468.7891498,38.31,31.23,24.15,29.02316666666666,28.157666666666664,27.292166666666667
2013-08-01 00:00:00,37.3,38.29,36.92,37.49,106066500,33.545,28.681904761904764,26.0254,26.98121470589311,27.82706329428801,34.176389099973505,30.384986716699423,27.661207277923104,26.98121470589311,84.57166162048314,-3.0875750572121596,93.54838709677419,0.8482806472811076,33.47469261966378,38.32880077128442,28.889999999999997,19.451199228715573,92.0,24.0,1.3475449226748435,0.29690507641840147,42.43920972644378,74.58857944916096,64.22633821432655,1042994800,-938323253.4606824,38.31,31.255000000000003,24.2,29.719,28.813,27.907
2013-08-02 00:00:00,37.66,38.49,37.5,38.05,73058500,35.035,29.326190476190476,26.2832,27.09135187299865,27.894989784026958,35.03719152220162,31.11498798177567,28.068610914082985,27.09135187299865,85.26690148759701,-3.3014936866548865,96.58650116369274,0.8701744160785729,33.8399432801768,39.569727887452686,29.574,19.578272112547317,100.0,20.0,1.3227202853409261,0.2954250899306062,42.776735459662284,73.40125577528806,65.56486338481903,1116053300,-930205642.3495718,38.49,31.455000000000002,24.42,30.425666666666665,29.49316666666666,28.56066666666667
2013-08-05 00:00:00,38.43,39.32,38.25,39.19,79994800,36.62,30.031904761904766,26.565800000000003,27.211736431476275,27.97003968579422,35.96003785060126,31.884036745416083,28.504743819413065,27.211736431476275,86.59153595674557,-3.522410063720777,99.05247813411076,0.9118884232586905,34.28070342712782,40.861127567155435,30.297999999999995,19.734872432844554,100.0,16.0,1.3189545506737175,0.3245829221252669,49.69442322383498,67.11737012846616,67.11164861722932,1196048100,-869648831.1346189,39.32,32.175,25.03,31.158000000000005,30.203000000000003,29.247999999999998
2013-08-06 00:00:00,39.11,39.25,37.94,38.55,63950800,37.14375,30.690952380952382,26.8506,27.324554974446663,28.040338425423496,36.53558499491209,32.51889038870979,28.898675434338042,27.324554974446663,82.12727885043812,-3.604297139043389,94.38775510204079,0.7713046944462446,34.57700401617711,41.85323798070744,30.9515,20.049762019292558,96.0,12.0,1.3183149399113092,0.2974387856978965,48.95672333848531,67.04144021259185,66.71389369154899,1132097300,-874042397.5468328,39.32,32.385,25.45,31.862833333333334,30.865333333333332,29.867833333333333
2013-08-07 00:00:00,38.61,38.94,37.7,38.87,68854800,37.75125,31.32857142857143,27.146,27.43943502445217,28.11229630963995,37.054343884931626,33.12375797073743,29.289707770246356,27.43943502445217,82.61003428218143,-3.6529061337942323,96.72011661807578,0.7865071250148264,34.88668624181397,42.75724551379672,31.604999999999997,20.45275448620328,92.0,8.0,1.3127210156319296,0.3131179256973866,49.21305182341649,67.94171087920549,66.56437175624302,1200952100,-812961526.579091,39.32,32.385,25.45,32.547000000000004,31.505499999999994,30.464000000000006
2013-08-08 00:00:00,39.13,39.19,38.43,38.54,41301000,38.14,31.935238095238095,27.4504,27.549888407293444,28.181583377349984,37.384489688280155,33.63959054495291,29.65246432827591,27.549888407293444,80.2041110599254,-3.6230367577865508,94.26470588235293,0.6941790033286549,35.26557079102038,43.45107140126236,32.2415,21.031928598737643,88.0,4.0,1.2732409430867917,0.2881755014211832,47.49330271718332,61.016891144436464,65.68100398844233,1159651100,-842306973.947512,39.32,32.435,25.55,33.20583333333333,32.15383333333333,31.10183333333333
2013-08-09 00:00:00,38.59,38.74,38.01,38.5,43532300,38.24875,32.53952380952381,27.729399999999995,27.65884474154923,28.250144285141676,37.632380868662345,34.102486683528824,29.999426511480777,27.65884474154923,79.90035259297154,-3.555155773646213,93.85767790262172,0.6752052008939289,35.5204861478994,44.0013906490293,32.870999999999995,21.740609350970693,84.0,4.0,1.2344380185805925,0.2837114050148711,45.22821576763484,65.92423576738057,64.89141815010144,1116118800,-827398652.0297039,39.32,32.46,25.6,33.85433333333334,32.78483333333333,31.715333333333337
2013-08-12 00:00:00,38.2,38.5,38.1,38.22,31161000,38.426249999999996,33.12571428571429,28.0068,27.763930863523868,28.316389173612496,37.76296289784849,34.49463080890703,30.321801942403102,27.763930863523868,77.6824751657037,-3.4391218883665076,91.71062547098718,0.5407729816098152,35.74745237057906,44.39933404484552,33.467999999999996,22.536665955154472,80.0,4.0,1.174835302967693,0.26669711264047,11.233993015133874,66.67867884098891,63.602456717112865,1084957800,-839863052.0297042,39.32,32.46,25.6,34.443,33.3925,32.342
