datetime,BIDU_Open,BIDU_High,BIDU_Low,BIDU_Close,BIDU_Volume,BIDU_sma8,BIDU_sma21,BIDU_sma50,BIDU_sma200,BIDU_sma300,BIDU_ema8,BIDU_ema20,BIDU_ema50,BIDU_ema200,BIDU_rsi,BIDU_macd,BIDU_stoch,BIDU_stochrsi,BIDU_vwap,BIDU_bb_hband,BIDU_bb_mavg,BIDU_bb_lband,BIDU_aroon_up,BIDU_aroon_down,BIDU_atr,BIDU_cmf,BIDU_roc,BIDU_uo,BIDU_tsi,BIDU_obv,BIDU_adi,BIDU_dcu,BIDU_dcm,BIDU_dcl,BIDU_kcu,BIDU_kcm,BIDU_kcl
2017-03-13 00:00:00,172.89,174.11,172.5,173.25,1549400,173.56125,178.43428571428572,176.697,174.3654981638313,175.01172747486078,173.9946498229485,175.95210709285948,175.74835955911092,174.3654981638313,40.25396102480963,1.3565375241261108,11.61849710982655,0.09361085787142838,176.89556370917202,188.8715292113459,178.1565,167.4414707886541,48.0,96.0,3.0461402473491703,-0.2436512476778281,-6.168760831889075,39.904075164351966,-13.7122214118017,-82632400,-57957809.87941302,188.54,179.89,171.24,181.37550000000002,178.4035,175.4315
2017-03-14 00:00:00,173.0,173.5,172.01,172.84,1015500,173.35625000000002,177.90333333333334,176.82379999999998,174.35031907762402,174.99729739197133,173.7380609734044,175.65571594115858,175.63430624306736,174.35031907762402,39.20602276402917,1.4178120581461542,9.248554913294774,0.07642524360328194,175.98205726033197,188.14596189522598,177.583,167.02003810477402,44.0,92.0,2.934987372538516,-0.2448734157293706,-1.3301364388879284,43.18907111538546,-14.855649022293976,-83647900,-57841947.46330563,188.54,179.89,171.24,180.76566666666668,177.82466666666667,174.88366666666667
2017-03-15 00:00:00,173.01,173.31,170.42,172.04,2651300,173.13750000000002,177.3190476190476,176.97639999999998,174.32733082809546,174.97764757541336,173.36071409042563,175.3113620420006,175.49335305706472,174.32733082809546,37.172541639626154,1.5134794331402759,14.298323036187139,0.025601587162072795,174.45243130265231,187.59111051912285,177.04649999999998,166.5018894808771,40.0,100.0,2.9317739887857663,-0.20455285848836635,-0.5376654911256327,44.818915920276254,-16.387661506420763,-86299200,-57520855.76780391,188.54,179.48,170.42,180.15883333333335,177.24233333333333,174.32583333333332
2017-03-16 00:00:00,173.54,177.55,173.4,176.57,4043600,173.54625000000001,177.02380952380952,177.1418,174.34964594423383,174.98822799019467,174.07388873699773,175.43123232371485,175.5355745058073,174.34964594423383,52.269150948498634,1.209817354481629,86.25525946704046,1.0,173.97852682377408,186.80567338740462,176.696,166.58632661259537,36.0,96.0,3.1159329895867844,-0.14107438925587992,1.4012519382070854,51.011505486799685,-13.22085275319281,-82255600,-55387004.20153888,188.54,179.48,170.42,179.84966666666668,176.84216666666666,173.83466666666666
2017-03-17 00:00:00,176.89,178.86,176.18,176.62,2017400,173.90625,176.69238095238094,177.235,174.3722365318534,174.99907032913023,174.6396912398871,175.54444829288485,175.57810099577566,174.3722365318534,52.40509083809884,0.9541297731452971,73.4597156398104,1.0,174.27028957467687,185.65665825334366,176.28,166.90334174665634,32.0,92.0,3.084794918902015,-0.17385267444696725,0.7357554326127828,49.299350208061085,-10.656943532223702,-80238200,-56741974.35079262,188.54,179.48,170.42,179.40466666666669,176.46216666666666,173.51966666666667
2017-03-20 00:00:00,177.1,177.86,174.59,176.13,1829100,174.18875,176.27285714285713,177.2082,174.38972671561606,175.00658481199315,174.97087096435664,175.60021512213393,175.59974409398055,174.38972671561606,50.8758694745121,0.7820197903530755,67.65402843601885,0.8996083095703986,174.40597256168755,184.27208574091944,175.82800000000003,167.38391425908063,28.000000000000004,88.0,3.0980238532661573,-0.20691706940550988,0.9456671251719428,51.29710536094593,-8.959449649912466,-82067300,-56848252.332444005,188.54,179.48,170.42,179.05533333333335,176.04333333333335,173.03133333333335
2017-03-21 00:00:00,177.5,177.7,170.27,171.4,3351300,173.94875000000002,175.61714285714285,177.10859999999997,174.35997819108258,174.9826207933088,174.1773440833885,175.20019463431166,175.4350482471578,174.35997819108258,39.034639928010755,1.0155858176201207,13.154831199068626,0.12224469221286394,174.15945933744888,182.46718938531512,175.117,167.76681061468486,24.0,100.0,3.4074507208900013,-0.30896855971391557,-1.3752229702514451,42.979922057886036,-11.23386185060726,-85418600,-59180179.78870242,188.54,179.405,170.27,178.70433333333332,175.45183333333333,172.19933333333333
2017-03-22 00:00:00,169.82,169.82,167.75,169.56,3482600,173.55125,174.85238095238094,176.9566,174.3122172140569,174.94659009036323,173.15126762041328,174.6630332405677,175.20465419824967,174.3122172140569,35.56671217162632,1.3337861430558746,16.29162916291629,0.0,173.50100918937807,180.10516424774315,174.2945,168.48383575225685,20.0,100.0,3.424775669397859,-0.23497886304041601,-2.1581073283323766,43.64368832163431,-14.310164259208543,-88901200,-56572435.82734974,188.54,178.14499999999998,167.75,177.7935,174.588,171.3825
2017-03-23 00:00:00,168.75,170.02,167.25,169.61,2847700,173.09625,174.07142857142858,176.74259999999998,174.26542898307127,174.91113101999537,172.36431926032145,174.18179197956127,174.98525599439674,174.26542898307127,35.733797903077914,1.563899946254196,20.327304048234375,0.009922910914474382,173.04706091855562,177.34929005726067,173.543,169.73670994273934,16.0,96.0,3.378005978726584,-0.14509254059049786,-2.3771152296535027,46.6991608181317,-16.641377567837214,-86053500,-54567737.271393046,181.75,174.5,167.25,176.86366666666666,173.75116666666668,170.63866666666667
2017-03-24 00:00:00,170.39,170.47,167.85,168.26,2157600,172.52374999999998,173.29142857142858,176.5214,174.2056734708019,174.86693745840068,171.45224831358337,173.6178117910316,174.72152046520472,174.2056734708019,33.228345071183526,1.8340586245861914,8.699397071490006,0.0,172.7493306228818,177.563614405281,173.19750000000002,168.83138559471905,12.0,100.0,3.3238626945318286,-0.07949461312347844,-3.226548570771274,43.75711239022441,-19.390154139208025,-88211100,-56050057.88208008,178.86,173.055,167.25,176.1985,173.347,170.4955
