datetime,MU_Open,MU_High,MU_Low,MU_Close,MU_Volume,MU_sma8,MU_sma21,MU_sma50,MU_sma200,MU_sma300,MU_ema8,MU_ema20,MU_ema50,MU_ema200,MU_rsi,MU_macd,MU_stoch,MU_stochrsi,MU_vwap,MU_bb_hband,MU_bb_mavg,MU_bb_lband,MU_aroon_up,MU_aroon_down,MU_atr,MU_cmf,MU_roc,MU_uo,MU_tsi,MU_obv,MU_adi,MU_dcu,MU_dcm,MU_dcl,MU_kcu,MU_kcm,MU_kcl
2011-03-11 00:00:00,9.81,10.19,9.8,10.14,46216700,10.73,11.016190476190477,10.2086,9.051117397439372,9.108236735809388,10.530281873896223,10.73487194813177,10.210992319624776,9.051117397439372,42.885105246119345,0.008828605070920759,29.499999999999993,0.2044122353056087,10.730335993711126,12.050591874249557,11.007000000000001,9.963408125750446,40.0,96.0,0.46219181684039945,-0.07015869458659933,-2.8735632183907946,45.893117292590276,-0.05468253450892173,-101744300,57692037.49953011,11.83,10.690000000000001,9.55,11.448,11.0225,10.597
2011-03-14 00:00:00,10.55,10.74,10.24,10.26,51157100,10.639999999999999,10.971428571428572,10.2574,9.063146080051915,9.11588964786381,10.470219235252618,10.689646048309697,10.212914189443412,9.063146080051915,44.687069007828136,0.040857386695108744,35.49999999999996,0.2804886167300436,10.685214061978307,12.047350633129248,10.9595,9.871649366870752,36.0,92.0,0.4720352584946566,-0.12524922517145876,-5.000000000000008,40.17420742100244,-1.9248347531156407,-50587200,10627505.499530017,11.83,10.690000000000001,9.55,11.415833333333333,10.982833333333334,10.549833333333334
2011-03-15 00:00:00,9.91,10.43,9.75,10.32,56312600,10.498750000000001,10.92904761904762,10.305,9.075652089205628,9.123890381100596,10.436837182974259,10.654441662756392,10.21711363299465,9.075652089205628,45.61104790224468,0.06069922544118178,38.49999999999998,0.3194977090844327,10.660497674678885,11.987795664943476,10.899,9.810204335056522,32.0,88.0,0.4868898828878954,-0.055374004696455786,-8.8339222614841,44.0393128065835,-3.1116086222443875,5725400,48721323.14658892,11.77,10.66,9.55,11.357,10.911999999999999,10.466999999999999
2011-03-16 00:00:00,10.23,10.49,9.9,9.96,56646700,10.303749999999999,10.854285714285714,10.3402,9.084451570905074,9.129445926741123,10.330873364535535,10.588304361541498,10.207030745426232,9.084451570905074,41.16753748644648,0.10427104525145126,20.500000000000007,0.13189893465894356,10.613035261023098,11.938329298865433,10.819500000000001,9.70067070113457,28.000000000000004,84.0,0.4942548912530457,-0.10599051407138622,-9.618874773139735,41.54234577126046,-5.541212068815048,-50921300,3595985.8584534302,11.77,10.66,9.55,11.2995,10.8405,10.381499999999999
2011-03-17 00:00:00,10.15,10.27,10.04,10.11,27585700,10.202499999999999,10.785714285714286,10.375399999999999,9.09465603288612,9.135961236197993,10.28179039463875,10.542751565204213,10.203225618154615,9.09465603288612,43.63167382282046,0.12525442492899863,27.999999999999936,0.23593131299602355,10.555233569710401,11.861929323597556,10.7495,9.637070676402443,24.0,80.0,0.48109382759211383,-0.10398968751038588,-6.820276497695854,41.27511577245399,-6.766330339547437,-23335600,-7198418.4893726185,11.77,10.66,9.55,11.227166666666665,10.770166666666666,10.313166666666666
2011-03-18 00:00:00,10.29,10.3,9.92,9.97,33230700,10.10125,10.71238095238095,10.4058,9.103365923106159,9.141503022003985,10.212503640274583,10.488203797089525,10.194079515481885,9.103365923106159,41.86903972768761,0.15143508507603087,20.999999999999996,0.1615153749053045,10.485403565303173,11.739460831457714,10.664,9.588539168542285,20.0,76.0,0.4738728399069629,-0.14635497236063738,-9.19854280510018,42.7335524862079,-8.301287269976898,-56566300,-31684197.436740935,11.77,10.66,9.55,11.152333333333335,10.692333333333334,10.232333333333333
2011-03-21 00:00:00,10.18,10.32,10.08,10.26,27828700,10.106250000000001,10.644761904761905,10.441199999999998,9.114874719891171,9.14893489561193,10.223058386880231,10.466470102128618,10.196664632521811,9.114874719891171,46.67465107115811,0.14708733920745587,35.49999999999996,0.3644015423811493,10.451628448555322,11.600009979990082,10.598,9.59599002000992,16.0,72.0,0.46502477991360835,-0.1149706011641231,-10.393013100436677,46.3744859804302,-8.165281639824446,-28737600,-17769847.43674104,11.55,10.55,9.55,11.081999999999999,10.622,10.161999999999999
2011-03-22 00:00:00,10.17,10.27,10.06,10.25,35892700,10.15875,10.581428571428571,10.475,9.126169498797728,9.156250942817167,10.229045412017957,10.445853901925892,10.198756215560172,9.126169498797728,46.531801907208425,0.14280249741062612,34.999999999999964,0.3583706511314317,10.400372987454954,11.578027777394912,10.57,9.561972222605089,12.0,68.0,0.4468087242054934,-0.03624352977863181,-11.024305555555552,45.88919825801383,-8.096372096262114,-64630300,11286147.801354315,11.55,10.55,9.55,11.024666666666667,10.583666666666668,10.142666666666667
2011-03-23 00:00:00,10.25,10.59,10.09,10.5,52514000,10.20375,10.566666666666666,10.515799999999999,9.139839454033572,9.165179507981172,10.289257542680634,10.451010673171044,10.21056969730291,9.139839454033572,50.60213104366903,0.1178750287958934,47.499999999999964,0.530214235607694,10.345837501700327,11.579818752308341,10.573,9.56618124769166,8.0,64.0,0.4506081010479582,0.008683200519681697,-3.846153846153846,52.09899890263729,-6.847602141207108,-12116300,44895107.80135435,11.55,10.55,9.55,11.016333333333334,10.580333333333332,10.144333333333332
2011-03-24 00:00:00,11.22,11.43,11.08,11.38,100897100,10.34375,10.611428571428572,10.570799999999998,9.162129608719805,9.179895923210534,10.53164475541827,10.539485847154754,10.256429709173386,9.162129608719805,61.66478307798302,0.026802225422002834,91.5,1.0,10.430973283900455,11.665138749176101,10.602,9.5388612508239,4.0,60.0,0.4848503795445326,0.041536411768135384,5.565862708719865,56.79422897381727,-1.8012489557977736,88780800,116964464.94421208,11.55,10.55,9.55,11.040666666666667,10.612166666666667,10.183666666666666
