time,open,high,low,close,volume,sma50,sma200,ema8,ema20,rsi,macd,stoch,vwap,aroon_up,aroon_down,roc,obv,adi
2021-07-07 15:00:00,14.895,14.9,14.8901,14.9,533.0,15.021209999999998,15.1009835,14.917220256709662,14.944049762786463,42.12171954399241,0.03402068881673159,40.000000000000355,14.901826472213443,12.0,40.0,0.13440860215053477,-338626.0,-485786.212466714
2021-07-07 15:15:00,14.9293,14.9293,14.905,14.908,4036.0,15.019969999999999,15.100073499999999,14.915171310774182,14.940616452044896,43.30060893679743,0.032806335215537885,47.99999999999936,14.90394354993164,8.0,36.0,0.3230148048452224,-334590.0,-488825.6692568374
2021-07-07 15:30:00,14.92,14.93,14.91,14.91,63285.0,15.018770000000002,15.099123500000001,14.914022130602142,14.937700599469192,43.60984166093025,0.031321513046906446,50.0,14.913647890803901,4.0,32.0,-0.334224598930486,-271305.0,-552110.6692568373
2021-07-07 15:45:00,14.9,14.91,14.9,14.9,2510.0,15.01717,15.098073499999998,14.910906101579442,14.934110066186411,42.365682486676214,0.03059897131311118,24.999999999999446,14.91706696773599,4.0,28.000000000000004,-0.3011040481766472,-273815.0,-554620.6692568373
2021-07-07 16:00:00,14.9,14.9096,14.88,14.88,27653.0,15.01537,15.0970235,14.904038079006233,14.92895672654961,39.91311089079789,0.0312796127317867,0.0,14.910560230331411,4.0,24.0,-0.36826247070639245,-301468.0,-582273.6692568373
2021-07-07 16:15:00,14.88,14.88,14.88,14.88,800.0,15.01357,15.096023500000001,14.898696283671514,14.924294181163932,39.91311089079789,0.031456415977395125,0.0,14.909937439830893,4.0,20.0,-0.26876495465847355,-300668.0,-582273.6692568373
2021-07-08 04:45:00,14.7,14.7,14.65,14.65,4935.0,15.00677,15.093823500000001,14.843430442855624,14.898170925814986,22.523032091311393,0.04958403771139075,0.0,14.899410252551558,4.0,100.0,-1.858985094624015,-305603.0,-587208.6692568373
2021-07-08 05:00:00,14.49,14.59,14.49,14.59,721.0,14.998970000000002,15.0913735,14.787112566665485,14.868821313832605,20.066785941775706,0.06800785487949135,21.739130434782574,14.89708808108849,4.0,100.0,-2.080536912751681,-306324.0,-586487.6692568373
2021-07-08 05:15:00,14.26,14.26,14.26,14.26,200.0,14.98397,15.0871735,14.669976440739822,14.810838331562833,12.191684910870464,0.10799223750544407,0.0,14.895920828822522,28.000000000000004,100.0,-4.359490274983235,-306524.0,-586487.6692568373
2021-07-08 05:30:00,14.74,14.74,14.33,14.5,3509.0,14.97197,15.084292499999998,14.632203898353193,14.781234680937802,32.83586821037392,0.11894305309551712,34.78260869565223,14.884528901819209,24.0,96.0,-2.8801071667782967,-303015.0,-587086.7668178129
2021-07-08 05:45:00,14.45,14.45,14.45,14.45,993.0,14.96077,15.0809925,14.591714143163594,14.749688520848487,31.19062687558136,0.1301558795196982,27.53623188405792,14.879603416737208,20.0,92.0,-3.3444816053511706,-304008.0,-587086.7668178129
2021-07-08 06:00:00,14.32,14.46,14.32,14.46,1233.0,14.945969999999999,15.077717499999999,14.562444333571685,14.722099137910536,31.925278863652792,0.13665987880337838,28.985507246376987,14.874176348950385,16.0,88.0,-2.9530201342281845,-302775.0,-585853.7668178129
2021-07-08 06:15:00,14.48,14.48,14.48,14.48,613.0,14.929570000000002,15.0747675,14.544123370555756,14.699042077157152,33.45552309650199,0.13860278560622064,32.352941176470694,14.870830079210831,12.0,84.0,-2.8187919463087243,-302162.0,-585853.7668178129
2021-07-08 06:30:00,14.46,14.46,14.44,14.44,917.0,14.916369999999999,15.0715175,14.52098484376559,14.674371403142185,31.910540065155757,0.14173637030239483,26.865671641791007,14.866527943742662,8.0,80.0,-3.139254091762812,-303079.0,-586770.7668178129
2021-07-08 06:45:00,14.32,14.32,14.3,14.3,1482.0,14.902170000000002,15.0676175,14.47187710070657,14.63871698379531,27.179560736218917,0.153744319904213,5.970149253731482,14.859035529925201,4.0,76.0,-4.091213950368876,-304561.0,-588252.7668178129
2021-07-08 07:00:00,14.34,14.34,14.34,14.34,240.0,14.88437,15.063717500000001,14.442571078327333,14.610267747243377,30.35653646243577,0.15820930241385156,11.940298507462698,14.855856452564064,32.0,72.0,-3.7583892617449695,-304321.0,-588252.7668178129
2021-07-08 07:15:00,14.34,14.34,14.34,14.34,417.0,14.867169999999998,15.0599175,14.419777505365705,14.584527961791625,30.35653646243577,0.15990455307053253,12.307692307692312,14.767945963409261,28.000000000000004,68.0,-3.629032258064522,-303904.0,-588252.7668178129
2021-07-08 07:30:00,14.34,14.35,14.34,14.35,2427.0,14.849569999999998,15.0560675,14.404271393062213,14.562191965430518,31.226480325573135,0.15861274600017694,13.854679802955653,14.738421317728642,24.0,64.0,-3.5618279569892546,-301477.0,-585825.7668178129
2021-07-08 08:00:00,14.47,14.48,14.41,14.48,1844.0,14.83517,15.0527675,14.421099972381722,14.55436415919904,41.463341838399,0.14542272341228824,35.48387096774198,14.5068796419261,20.0,60.0,-1.1604095563139927,-299633.0,-583981.7668178129
2021-07-08 08:15:00,14.35,14.5,14.31,14.39,6629.0,14.81897,15.049067500000001,14.414188867408004,14.53871042975151,37.321542947337605,0.14061090829742362,27.08333333333347,14.468385703363895,16.0,56.00000000000001,-1.370801919122682,-306262.0,-585028.4510283392
2021-07-08 08:30:00,14.39,14.39,14.32,14.32,1276.0,14.801370000000002,15.0450675,14.393258007984004,14.517880865013272,34.4399818447222,0.14082260975104788,12.500000000000092,14.417806467860668,12.0,52.0,0.4207573632538604,-307538.0,-586304.4510283392
2021-07-08 08:45:00,14.35,14.39,14.34,14.34,1468.0,14.787569999999999,15.0411175,14.38142289509867,14.500939830250104,35.961325118735544,0.13778821505230887,16.666666666666668,14.409639252122027,8.0,48.0,-1.1034482758620698,-306070.0,-587772.4510283392
2021-07-08 09:00:00,14.39,14.49,14.39,14.48,1799.0,14.776769999999999,15.037867499999999,14.403328918410077,14.498945560702474,45.49587600501005,0.12267251305127402,40.90909090909089,14.414007324827926,4.0,44.0,0.20761245674741272,-304271.0,-586333.2510283393
2021-07-08 09:15:00,14.44,14.49,14.43,14.48,3431.0,14.76537,15.0344175,14.420366936541171,14.497141221587952,45.49587600501004,0.109431749226518,90.00000000000018,14.405813584184514,16.0,40.0,0.13831258644536357,-300840.0,-584045.9176950059
